"Photo Name","SWMFAC No.","Facility ID","Inspection ID","Subject","Comment"
"120205-CS-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","CS",""
"120205-ERO-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","ERO",""
"120205-OV-A-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","OV","Looking downstream "
"120205-OV-B-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","OV","Downstream and control structure "
"120205-OV-C-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","OV","Tire ruts"
"120205-OV-D-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","OV","Looking downstream. Cattails in center of swale. "
"120205-OV-E-20180717.jpg","120205","50544690-633f-46c8-b0c0-5763c46d2d77","5773e63c-7d64-44b7-8b58-4d1858a791d7","OV","Looking upstream "
"120303-CS-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","CS","Riser interior"
"120303-FOR-A-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","FOR","Forebay overgrown with cattails. "
"120303-FOR-B-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","FOR","Forebay Overgrown with cattails. "
"120303-INF-A-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","INF",""
"120303-INF-B-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","INF",""
"120303-INF-C-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","INF",""
"120303-INF-D-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","INF",""
"120303-INF-E-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","INF",""
"120303-INF-F-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","INF",""
"120303-LOW-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","LOW","Orifice plate removed and laying inside riser. "
"120303-OV-A-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","OV",""
"120303-OV-B-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","OV","Access gate damaged. Lock installed. "
"120303-OV-C-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","OV",""
"120303-OV-D-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","OV",""
"120303-OV-E-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","OV",""
"120303-WER-20180717.jpg","120303","996b634a-1d4c-4ffd-a7d8-c54c9e76ce37","6d747c2d-351b-46ea-a412-173f53e8216b","WER","Between forebay and basin"
"122014-ERO-A-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","ERO","Erosion under fence at upstream embankment "
"122014-ERO-B-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","ERO","Erosion under fence at upstream embankment behind riser. "
"122014-FEN-A-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","FEN",""
"122014-FEN-B-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","FEN","Access gate at south end of BMP can not be closed due to vegetation. "
"122014-OUT-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OUT",""
"122014-OV-A-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OV",""
"122014-OV-B-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OV",""
"122014-OV-C-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OV",""
"122014-OV-D-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OV",""
"122014-OV-E-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OV",""
"122014-OV-F-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","OV",""
"122014-RIS-20180717.jpg","122014","28dd05e3-4712-4d5d-850f-38fd2272e010","7942c8e1-2959-40f5-85b3-ac376d40fcab","RIS",""
"122068-OV-20180717.jpg","122068","a82c789e-496f-4182-a935-3f7176edd02c","5e548ae6-775d-498b-b87e-745829a8d483","OV",""
"122070-OV-20180717.jpg","122070","b6a32a3a-9168-4c25-88ef-cdcbe331d24f","771c6007-2975-4862-ad53-cdf24eef697a","OV",""
